,date,Hubei,Italy,Guangdong,Henan,Zhejiang,Hunan,Anhui,Jiangxi,Shandong,Jiangsu,Chongqing,Washington,Sichuan,New York,Heilongjiang,Beijing,Shanghai,California,Hebei,Fujian,Guangxi,Shaanxi,Yunnan,Hainan,Guizhou,Hong Kong,Massachusetts,Tianjin,Shanxi,Gansu,Liaoning,Colorado,Jilin,Louisiana,Florida,Xinjiang,Ningxia,New Jersey,Georgia,Illinois,Texas,Pennsylvania,Virginia,Oregon,Tennessee,Wisconsin,Maryland,Ohio,Michigan,North Carolina,Connecticut,Minnesota,Nevada,Rhode Island,South Carolina,Qinghai,Iowa,Indiana,Nebraska,Kentucky,Arkansas,Arizona,Utah,New Mexico,District of Columbia,Macau,South Dakota,Kansas,New Hampshire,Delaware,Alabama,Mississippi,Montana,Vermont,Oklahoma,Hawaii,Missouri,Maine,Idaho,Wyoming,Tibet,Alaska,North Dakota,West Virginia
25,2020-03-01,66907,1694,1349,1272,1205,1018,990,935,758,631,576,0,538,0,480,413,337,0,318,296,252,245,174,168,146,96,0,136,133,91,122,0,93,0,0,76,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,2020-03-02,67103,2036,1350,1272,1206,1018,990,935,758,631,576,0,538,0,480,414,337,0,318,296,252,245,174,168,146,100,0,136,133,91,122,0,93,0,0,76,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,2020-03-03,67217,2502,1350,1272,1213,1018,990,935,758,631,576,0,538,0,480,414,338,0,318,296,252,245,174,168,146,100,0,136,133,91,125,0,93,0,0,76,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,2020-03-04,67332,3089,1350,1272,1213,1018,990,935,758,631,576,0,538,0,480,418,338,0,318,296,252,245,174,168,146,105,0,136,133,91,125,0,93,0,0,76,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,2020-03-05,67466,3858,1351,1272,1215,1018,990,935,758,631,576,0,539,0,481,418,339,0,318,296,252,245,174,168,146,105,0,136,133,102,125,0,93,0,0,76,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,2020-03-06,67592,4636,1352,1272,1215,1018,990,935,758,631,576,0,539,0,481,422,342,0,318,296,252,245,174,168,146,107,0,136,133,119,125,0,93,0,0,76,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,2020-03-07,67666,5883,1352,1272,1215,1018,990,935,758,631,576,0,539,0,481,426,342,0,318,296,252,245,174,168,146,108,0,136,133,120,125,0,93,0,0,76,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,2020-03-08,67707,7375,1352,1272,1215,1018,990,935,758,631,576,0,539,0,481,428,342,0,318,296,252,245,174,168,146,114,0,136,133,124,125,0,93,0,0,76,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,2020-03-09,67743,9172,1352,1272,1215,1018,990,935,758,631,576,0,539,0,481,428,342,0,318,296,252,245,174,168,146,115,0,136,133,124,125,0,93,0,0,76,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,2020-03-10,67760,10149,1353,1272,1215,1018,990,935,758,631,576,267,539,173,481,429,344,144,318,296,252,245,174,168,146,120,92,136,133,125,125,15,93,1,15,76,75,15,17,12,13,12,7,15,7,3,8,3,0,7,2,3,4,3,7,18,8,6,3,6,0,6,2,0,5,10,0,1,4,0,0,0,0,1,2,2,1,0,0,0,1,0,0,0
35,2020-03-11,67773,12462,1356,1273,1215,1018,990,935,760,631,576,366,539,220,482,435,344,177,318,296,252,245,174,168,146,126,95,136,133,127,125,34,93,6,28,76,75,23,23,25,21,16,9,19,9,6,9,4,2,7,3,5,7,5,10,18,13,11,5,8,1,9,3,3,10,10,8,1,5,1,0,0,1,1,2,2,1,0,0,0,1,0,0,0
36,2020-03-12,67781,12462,1356,1273,1215,1018,990,935,760,631,576,442,539,328,482,435,344,221,318,296,252,245,174,168,146,129,108,136,133,127,125,45,93,19,35,76,75,29,31,32,27,22,17,24,18,8,12,5,2,15,5,9,14,5,12,18,16,13,10,10,6,9,5,5,10,10,8,1,6,1,0,1,1,2,2,2,1,0,0,1,1,0,1,0
37,2020-03-13,67786,17660,1356,1273,1215,1018,990,935,760,631,576,568,539,421,482,436,346,282,318,296,252,245,174,168,146,134,123,136,133,127,125,49,93,36,50,76,75,29,42,46,43,41,30,30,26,19,18,13,16,17,11,14,17,14,13,18,17,13,13,14,6,9,9,10,10,10,8,5,6,4,5,1,1,2,2,2,2,1,1,1,1,1,1,0
38,2020-03-14,67790,21157,1356,1273,1227,1018,990,935,760,631,576,572,539,525,482,437,353,340,318,296,252,245,174,168,146,140,138,136,133,129,125,101,93,77,76,76,75,69,66,64,57,47,41,32,32,27,26,26,25,24,22,21,21,20,19,18,17,16,14,14,12,12,10,10,10,10,9,8,7,6,6,6,5,5,4,4,4,3,2,2,1,1,1,0
